BOURBLE | 2 ounces bourbon + 1/2 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BOURBON FLIP | 2 ounces bourbon + 1 egg + 1 teaspoon superfine sugar + 1/2 ounce light cream + 1/8 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the bourbon, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg. | Sour Glass
BOURBON MILK PUNCH | 2 ounces bourbon + 3 ounces half-and-half + 1 teaspoon superfine sugar + 1/4 teaspoon vanilla extract + 1/4 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the bourbon, half-and-half, sugar, and vanilla extract. Shake well. Strain into an old-fashioned glass and garnish with the nutmeg. | Old-Fashioned Glass
BOURBON MILK PUNCH #2 | 1 teaspoon superfine sugar + 5 ounces milk + 1/4 teaspoon ground cinnamon + 2 ounces bourbon | In a highball glass, dissolve the sugar in the bourbon by stirring with a teaspoon. Add 6 ice cubes and the milk. Stir well. Garnish with the cinnamon. | Highball Glass
BOURBON MILK PUNCH #3 | 2 ounces bourbon + 5 ounces milk + 1/2 ounce dark crème de cacao + 1/4 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the bourbon, crème de cacao, and milk. Shake well. Pour into a highball glass and garnish with the nutmeg. | Highball Glass
BOURBON OLD-FASHIONED | 3 dashes bitters + 3 ounces bourbon + 1 teaspoon water + 1 orange slice + 1 cube + 1 maraschino cherry | In an old-fashioned glass, muddle the bitters and water into the sugar cube, using the back of a teaspoon. Almost fill the glass with ice cubes and add the bourbon. Garnish with the orange slice and the cherry. Serve with a swizzle stick. | Old-Fashioned Glass
BOURBON SANGAREE | 1 teaspoon superfine sugar + 1/2 ounce tawny port + 2 teaspoons water + 1 1/2 ounces bourbon + Crushed ice + 2 1/2 ounces club soda + 1 lemon twist + 1/8 teaspoon grated nutmeg + 1/8 teaspoon ground cinnamon | In a highball glass, dissolve the sugar in the water and bourbon. Almost fill the glass with crushed ice and add the club soda. Float the port on top. Garnish with the lemon twist and dust with the nutmeg and cinnamon. | Highball Glass
BOURBON SLING | 1 teaspoon superfine sugar + 1 ounce lemon juice + 2 ounces bourbon + 2 teaspoons water + 1 lemon twist | In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and bourbon. Shake well. Strain into a highball glass. Garnish with the lemon twist. | Highball Glass
BOURBON SOUR | 2 ounces bourbon + 1 orange slice + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass; garnish with the orange slice and cherry. | Sour Glass
BOURBON SWIZZLE | 1 1/2 ounces lime juice + 1 dash bitters + 1 teaspoon superfine sugar + 3 ounces club soda + 2 ounces bourbon | In a shaker half-filled with ice cubes, combine the lime juice, sugar, bourbon, and bitters. Shake well. Almost fill a collins glass with crushed ice. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda. Serve with a swizzle stick. | Collins Glass
DIXIE DEW | 1 1/2 ounces bourbon + 1/2 teaspoon Cointreau or triple sec + 1/2 teaspoon white crème de menthe | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
DIXIE STINGER | 3 ounces bourbon + 1/2 teaspoon Southern Comfort + 1/2 ounce white crème de menthe | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
FANCY BOURBON | 2 ounces bourbon + 2 dashes bitters + 1/2 teaspoon Cointreau or triple sec + 1 lemon twist + 1/4 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the bourbon, Cointreau, sugar, and bitters. Shake well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
FOX AND HOUNDS | 1 1/2 ounces bourbon + 1/2 teaspoon superfine sugar + 1/2 ounce Pernod + 1/2 ounce lemon juice + 1 egg white | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
JILLIONAIRE | 2 ounces bourbon + 1/2 teaspoon grenadine + 1/2 ounce Cointreau or triple sec + 1 egg white | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well and strain into a cocktail glass. | Cocktail Glass
JOHN COLLINS | 2 ounces bourbon + 3 ounces club soda + 1 ounce lemon juice + 1 maraschino cherry + 1 teaspoon superfine sugar + 1 orange slice + 1/4 teaspoon | In a shaker half-filled with ice cubes, combine the bourbon, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice. | Collins Glass
J. R.’S GODCHILD | 2 ounces bourbon + 1 ounce milk + 1/2 ounce amaretto | In a shaker half-filled with ice cubes, combine the bourbon, amaretto, and milk. Shake well. Pour into an old-fashioned glass. | Old-Fashioned Glass
J. R.’S GODFATHER | 2 ounces bourbon + 1/2 ounce amaretto | In an old-fashioned glass almost filled with ice cubes, combine both of the ingredients. Stir to mix the flavors. | Old-Fashioned Glass
J. R.’S REVENGE | 3 ounces bourbon + 2 dashes bitters + 1/2 ounce Southern Comfort | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
KENTUCKY B AND B | 2 ounces bourbon + 1/2 ounce Bénédictine | Pour the bourbon and Bénédictine into a brandy snifter. | Snifter
KENTUCKY COLONEL | 3 ounces bourbon + 1 lemon twist + 1/2 ounce Bénédictine | In a shaker half-filled with ice cubes combine the bourbon and Bénédictine. Shake and strain into a cocktail glass. Garnish with the lemon twist. | Cocktail Glass
MIDNIGHT COWBOY | 2 ounces bourbon + 1/2 ounce heavy cream + 1 ounce dark rum | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MINT JULEP | 1 teaspoon superfine sugar + 6 fresh mint sprigs stems cut short immediately before use + 3 ounces bourbon | In a silver julep cup, highball glass, or collins glass, dissolve the sugar in a few drops of water. Almost fill the glass with crushed ice. Add the bourbon and some short straws. Garnish with the sprigs of mint on top. | Collins Glass
MINT JULEP #2 | 6 fresh mint sprigs + Crushed ice + 1 teaspoon superfine sugar + 3 ounces bourbon | Lightly muddle 4 of the mint sprigs with the sugar and a few drops of water in the bottom of the glass. Almost fill the glass with crushed ice. Add the bourbon and some short straws. Garnish with the remaining 2 mint sprigs. | Collins Glass
MINT JULEP #3 | 6 fresh mint sprigs + Crushed ice + 1 teaspoon superfine sugar + 3 ounces bourbon | Lightly muddle 4 of the mint sprigs with the sugar and a few drops of water in the bottom of the glass. Now smear the leaves all around the inside of the glass to coat it with the mixture; discard the leaves. Almost fill the glass with crushed ice. Add the bourbon and some short straws. Garnish with the remaining 2 mint sprigs. | Collins Glass
NARRAGANSETT | 2 ounces bourbon + 1/2 teaspoon anisette + 1 ounce sweet vermouth + 1 lemon twist | In an old-fashioned glass almost filled with ice cubes, combine the bourbon, vermouth, and anisette. Stir well and garnish with the lemon twist. | Old-Fashioned Glass
NEVINS | 2 ounces bourbon + 1/2 ounce lemon juice + 1/2 ounce apricot brandy + 1 dash bitters + 1/2 ounce grapefruit juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
PENDENNIS | 1/2 teaspoon superfine sugar + 2 ounces bourbon + 1 lemon slice + Crushed ice | In an old-fashioned glass, dissolve the sugar in a few drops of water. Almost fill the glass with crushed ice. Add the bourbon. Stir well and garnish with the lemon slice. | Old-Fashioned Glass
RAGGED COMPANY | 2 ounces bourbon + 2 dashes bitters + 1/2 ounce sweet vermouth + 1 lemon twist + 1 teaspoon Bénédictine | In a mixing glass half-filled with ice cubes, combine the bourbon, vermouth, Bénédictine, and bitters. Stir well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
REBEL YELL | 2 ounces bourbon + 1 ounce lemon juice + 1/2 ounce Cointreau or triple sec + 1 egg white + 1 orange slice | In a shaker half-filled with ice cubes, combine the bourbon, Cointreau, lemon juice, and egg white. Shake well. Pour into an old-fashioned glass and garnish with the orange slice. | Old-Fashioned Glass
SAZERAC | 1 teaspoon Ricard + 1/2 teaspoon superfine sugar + 2 dashes Peychaud bitters + 1 teaspoon water + 2 ounces bourbon + 1 lemon twist | Pour the Ricard into an old-fashioned glass and swirl it around to coat the glass; discard any excess. Place the sugar, Peychaud bitters, and water into the glass and muddle thoroughly with the back of a teaspoon. Almost fill the glass with ice cubes. Pour the bourbon over the ice cubes. Garnish with the lemon twist. | Old-Fashioned Glass
ALL DRESSED UP LIKE A DOG’S DINNER | 1 1/2 ounces brandy + 1 ounces sweet vermouth + 1 ounce applejack | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
AMERICAN BEAUTY | 1 ounce brandy + 1 ounce orange juice + 1/2 ounce dry vermouth + 1 teaspoon grenadine + 1/4 teaspoon white crème de menthe + 1/2 ounce tawny port | In a shaker half-filled with ice cubes, combine the brandy, vermouth, crème de menthe, orange juice, and grenadine. Shake well. Strain into a cocktail glass. Pouring slowly and carefully, float the port on top. | Cocktail Glass
BALTIMORE BRACER | 1 1/2 ounces brandy + 1 egg white + 1 ounce anisette | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BENGAL | 1 1/2 ounces brandy + 1 ounce pineapple juice + 1/2 ounce maraschino liqueur + 2 dashes bitters + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BETSY ROSS 1 | + Crushed ice + 1/2 teaspoon Cointreau or triple sec + 2 ounces brandy + 1 1/2 ounces tawny port | In a mixing glass half-filled with crushed ice, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BETWEEN THE SHEETS | 1 ounce brandy + 1 ounce lemon juice + 1 ounce light rum + 1 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BLACK BALTIMORE | 2 ounces brandy + 1 egg white + 1 ounce black Sambuca (Opal Nera) | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BLACK PAGODA | 1 1/2 ounces brandy + 2 teaspoons Cointreau or triple sec + 1/2 ounce sweet vermouth + 1/2 ounce dry vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BOSOM CARESSER | + Crushed ice + 1/2 ounce Cointreau or triple sec + 1 1/2 ounces brandy + 1 ounce Madeira | In a mixing glass half-filled with crushed ice, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BRANDIED EGG SOUR | 1 egg + 2 ounces brandy + 1/2 ounce Cointreau or triple sec + 1 ounce lemon juice + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes, crack the egg and add the rest of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BRANDY AND SODA | 2 ounces brandy + 5 ounces club soda | Pour the brandy and club soda into a highball glass almost filled with ice cubes. Stir well. | Highball Glass
BRANDY ALEXANDER | 1 1/2 ounces brandy + 1 ounce half-and-half + 1 ounce dark crème de cacao + 1/4 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the brandy, crème de cacao, and half-and-half. Shake well. Strain into a cocktail glass and garnish with the nutmeg. | Cocktail Glass
BRANDY ALEXANDER #2 | 1 1/2 ounces brandy + 1 ounce heavy cream + 1 ounce white crème de cacao + 1/4 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the brandy, crème de cacao, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg. | Cocktail Glass
BRANDY BLAZER | 1 teaspoon granulated sugar + 1 slice orange + 1 lemon twist + 2 ounces brandy | In an old-fashioned glass, dissolve the sugar in the brandy. Add the orange slice. Tilt the glass and carefully ignite the drink with a match. Stir with a long spoon until the flame is extinguished. Strain into a punch cup and garnish with the lemon twist. | Old-Fashioned Glass
BRANDY CLASSIC | 1 lemon wedge + 1 tablespoon powdered + Crushed ice + 1 1/2 ounces brandy + 1/2 ounce Cointreau or triple sec + 2 teaspoons maraschino liqueur + 1/2 ounce lemon juice | Moisten the rim of a cocktail glass using the lemon wedge; discard the lemon. Roll the outside edge of the rim in a saucer containing the sugar. In a shaker almost filled with crushed ice, combine the brandy, Cointreau, maraschino liqueur, and lemon juice. Shake well. Strain into the cocktail glass. | Cocktail Glass
BRANDY COBBLER | 1 teaspoon superfine sugar + 2 ounces brandy + 3 ounces club soda + Crushed ice + 1 maraschino cherry + 1 orange slice + 1 lemon slice | In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the brandy. Stir well. Garnish with the cherry and the orange and lemon slices. | Old-Fashioned Glass
BRANDY COLLINS | 2 ounces brandy + 3 ounces club soda + 1 ounce lemon juice + 1 maraschino cherry + 1 teaspoon superfine sugar + 1 orange slice | In a shaker half-filled with ice cubes, combine the brandy, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice. | Collins Glass
BRANDY COOLER | 2 ounces brandy + 1 lemon wedge + 4 ounces lemon-lime soda | Pour the brandy and the soda into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon wedge. | Highball Glass
BRANDY CRUSTA | 1 tablespoon superfine sugar + 1 lemon wedge + Peel of 1 orange, cut into a spiral + 2 teaspoons maraschino liqueur + Crushed ice + 1/2 ounce lemon juice | Place the sugar in a saucer. Rub the rim of a wine goblet with the lemon wedge and dip it into the sugar to coat the rim thoroughly; discard the lemon. Place the orange peel spiral in the goblet and drape one end of it over the rim of the glass. Fill the glass with crushed ice. In a shaker half-filled with ice cubes, combine the brandy, Cointreau, maraschino liqueur, and lemon juice. Shake well. Strain into the goblet. | Goblet
BRANDY DAISY | 2 ounces brandy + 1/2 teaspoon grenadine + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar + 1 orange slice + 1 1/2 ounces brandy + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine the brandy, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice. | Old-Fashioned Glass
BRANDY FIX | 1 teaspoon superfine sugar + Crushed ice + 2 ounces brandy + 1 ounce lemon juice + 1 maraschino cherry + 2 teaspoons water + 1 lemon slice | In a shaker half-filled with ice cubes, combine the sugar, lemon juice, and water. Shake well. Strain into a highball glass almost filled with crushed ice. Add the brandy. Stir well and garnish with the cherry and the lemon slice. | Highball Glass
BRANDY FIZZ | 2 1/2 ounces brandy + 4 ounces club soda + 1 ounce lemon juice + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the brandy, lemon juice, and sugar. Shake well. Strain into a collins glass almost filled with ice cubes. Add the club soda. Stir well. | Collins Glass
BRANDY FLIP | 2 ounces brandy + 1 whole egg + 1 teaspoon superfine sugar + 1/2 ounce light cream + 1/8 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the brandy, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg. | Sour Glass
BRANDY SANGAREE | 1 teaspoon superfine sugar + 1/2 ounce tawny port + 2 teaspoons water + 1 1/2 ounces brandy + 1 lemon twist + 1/8 teaspoon grated nutmeg + Crushed ice + 1/8 teaspoon ground cinnamon + 2 1/2 ounces club soda | In a highball glass, dissolve the sugar in the water and brandy. Almost fill the glass with crushed ice and add the club soda. Float the port on top. Garnish with the lemon twist and sprinkle on the nutmeg and cinnamon. | Highball Glass
BRANDY SLING | 1 teaspoon superfine sugar + 1 ounce lemon juice + 2 ounces brandy + 2 teaspoons water + 1 lemon twist | In a shaker half-filled with ice cubes, combine the sugar, water, lemon juice, and brandy. Shake well. Strain into a highball glass. Garnish with the lemon twist. | Highball Glass
BRANDY SMASH | 4 fresh mint sprigs + 2 1/2 ounces brandy + 1 teaspoon superfine sugar + 1 orange slice + 1 maraschino cherry + 1 ounce club soda | In an old-fashioned glass, muddle the mint sprigs lightly with the sugar and club soda. Fill the glass with ice cubes. Add the brandy. Stir well and garnish with the orange slice and the cherry. | Old-Fashioned Glass
BRANDY SOUR | 2 ounces brandy + 1 slice orange + 1 ounce lemon juice + 1 maraschino cherry + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the brandy, lemon juice, and sugar. Shake well. Strain into a whiskey sour glass and garnish with the orange slice and the cherry. | Sour Glass
BRANDY SWIZZLE | 1 1/2 ounces lime juice + 1 dash bitters + 1 teaspoon superfine sugar + Crushed ice + 3 ounces club soda + 2 ounces brandy | In a shaker half-filled with ice cubes, combine the lime juice, sugar, brandy, and bitters. Shake well. Almost fill a collins glass with crushed ice and stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda. Serve with a swizzle stick. | Collins Glass
CHAMPS ELYSEES | 2 ounces brandy + 1/2 ounce yellow Chartreuse + 1/2 ounce lemon juice + 1/2 teaspoon superfine sugar + 2 dashes bitters | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
CHARLES COCKTAIL | 2 ounces brandy + 2 dashes bitters + 1/2 ounce sweet vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
CITY SLICKER | 2 ounces brandy + 1 tablespoon lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
COMFORTING TIGER | + Crushed ice + 1 teaspoon sweet vermouth + 2 ounces brandy + 1/2 ounce Southern Comfort + 1 lemon twist | In a mixing glass, half-filled with crushed ice, combine the brandy, Southern Comfort, and vermouth. Stir well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
CORPSE REVIVER | 1 1/2 ounces brandy + 1 ounce white crème de menthe + 1/2 ounce Fernet Branca | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
DANCE WITH A DREAM COCKTAIL | 2 ounces brandy + 1 teaspoon anisette + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
FANCY BRANDY | 2 ounces brandy + 2 dashes bitters + 1/2 teaspoon Cointreau or triple sec + 1 lemon twist + 1/4 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the brandy, Cointreau, sugar, and bitters. Shake well. Strain into a cocktail glass and garnish with the lemon twist. | Cocktail Glass
HORSE’S NECK | Peel of 1 lemon, cut into a spiral + 5 ounces ginger ale + 2 dashes bitters + 2 ounces brandy | Place the lemon peel spiral in a highball glass and drape one end of it over the rim of the glass. Fill the glass with ice cubes. Pour the brandy, ginger ale, and bitters into the glass. Stir well. | Highball Glass
JAPANESE | 2 ounces brandy + 1 dash bitters + 1 teaspoon orgeat syrup + 1 lime twist + 1/2 ounce lime juice | In a shaker half-filled with ice cubes, combine the brandy, orgeat syrup, lime juice, and bitters. Shake well. Strain into a cocktail glass and garnish with the lime twist. | Cocktail Glass
LA JOLLA | 2 ounces brandy + 1 teaspoon orange juice + 1/2 ounce crème de bananes + 1/2 ounce lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
METROPOLITAN | + Crushed ice + 1/2 ounce sweet vermouth + 1 teaspon superfine sugar + 1 dash bitters + 2 ounces brandy | In a shaker half-filled with crushed ice, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
MIKADO | 1 1/2 ounces brandy + 1 teaspoon grenadine + 1/2 ounce Cointreau or triple sec + 1 dash bitters + 1 teaspoon crème de noyaux | In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well. | Old-Fashioned Glass
SIDECAR | 2 ounces brandy + 1 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
SOUTHERN BELLE | 1/2 ounce brandy + 1/2 ounce Bènèdictine + 1/2 ounce white crème de cacao | Pour the brandy into a pousse café glass. Tilt the glass to a 45-degree angle and slowly pour the crème de cacao down the side of the glass so that it floats on the brandy. Repeat this procedure with the Bènèdictine. | Café Glass
STINGER | 2 ounces brandy + 1/2 ounce white crème de menthe | In a mixing glass half-filled with ice cubes, combine both ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
ABBEY COCKTAIL | 2 ounces gin + 2 dashes orange bitters + 1 1/2 ounces orange juice + 1 maraschino cherry | In a shaker half-filled with ice cubes, combine the gin, orange juice, and orange bitters. Shake well. Strain into a cocktail glass and garnish with the cherry. | Cocktail Glass
ALASKA | 2 ounces gin + 1 dash orange bitters + 1/2 ounce yellow Chartreuse | In a mixing glass half-filled with crushed ice, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
ALEXANDER | 1 1/2 ounces gin + 1 ounce light cream + 1 ounce white crème de cacao + 1/8 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the gin, crème de cacao, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg. | Cocktail Glass
ALEXANDER’S SISTER | 1 1/2 ounces gin + 1 ounce heavy cream + 1 ounce green crème de menthe + 1/8 teaspoon grated nutmeg | In a shaker half-filled with ice cubes, combine the gin, crème de menthe, and heavy cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg. | Cocktail Glass
ALEXANDER’S BIG BROTHER | 2 ounces gin + 1/2 ounce heavy cream + 1/2 ounce blue Curaçao | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
ARCADIA | 1 1/2 ounces gin + 1/2 ounce grapefruit juice + 1/2 ounce Galliano + 1/2 ounce crème de bananes | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
ARCHBISHOP | 2 ounces gin + 1 teaspoon Bènèdictine + 1 ounce green ginger + 1 lime wedge wine | In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well. | Old-Fashioned Glass
ARTHUR TOMPKINS | 2 ounces gin + 2 teaspoons lemon juice + 1/2 ounce Grand Marnier + 1 lemon twist | In a shaker half-filled with ice cubes, combine the gin, Grand Marnier, and lemon juice. Shake well. Strain into a sour glass and garnish with the lemon twist. | Sour Glass
ARTILLERY | 2 ounces gin + 2 dashes bitters + 1/2 ounce sweet vermouth | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BANNISTER | + Crushed ice + 1 teaspoon Pernod + 1 1/2 ounces gin + 1/2 teaspoon grenadine + 1 ounce applejack | In a mixing glass half-filled with crushed ice, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BARBARY COAST | 1 ounce gin + 1/2 ounce dark crème de cacao + 1/2 ounce Scotch + 1/2 ounce light rum + 1 ounce light cream | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BEAUTY SPOT | 1 1/2 ounces gin + 1 egg white + 2 teaspoons white crème de cacao + 1/2 teaspoon grenadine | In a shaker half-filled with ice cubes, combine the gin, crème de cacao, and egg white. Shake well. Strain into a cocktail glass. Drop the grenadine into the center of the drink. | Cocktail Glass
BELLES OF ST. MARY’S | 1 1/2 ounces gin + 1 ounce apricot brandy + 1 ounce Cointreau or triple sec + 2 teaspoons lemon juice | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BENNET COCKTAIL | 1 1/2 ounces gin + 1 dash orange bitters + 1/2 ounce lime juice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
BERMUDA ROSE | + Crushed ice + 1/2 ounce apricot brandy + 2 ounces gin + 1 teaspoon grenadine | In a mixing glass half-filled with crushed ice, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
BERNARD’S BEVIE | 1 1/2 ounces gin + 1/2 ounce dry vermouth + 1/2 ounce sweet vermouth + 1 teaspoon B & B | In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass. | Cocktail Glass
